id,created_at,author,likes,followers_count,place,search_term,text
1225931791015596033,2020-02-07 23:58:10,22839624,5,4128,,Impeached,"@realDonaldTrump @SenCapito FOREVER AND EVER IMPEACHED&lt;&lt;&lt;A FAILURE &lt;&lt;&lt;RESIGN OR SOON KICKED TO CURB W THE GOP SPEW&lt;&lt;#PRISON VIA SDNY&lt;&lt;&lt;ONGOING INVESTIGATIONS,,,#KARMA 🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊😎"
1225931753011007488,2020-02-07 23:58:01,4126567633,35,224,,Impeached,@SaysStephie @AngrierWHStaff Probably asked if Romney could be impeached.
1225931667229073409,2020-02-07 23:57:40,435858786,7,5116,,Impeached,@TrumpMustGo9 @roper_93 @BonkersBrat Agreed. However my granddaughters civics teacher continues to tell her tRump is not impeached.
1225931482633560065,2020-02-07 23:56:56,3003861089,10,1531,,Impeached,"@CitizensFedUp The complete gall of trump is astounding!  Who the holy hell does he think he is? Clinton was charged with far less than trump, yet he has to still carry the impeached stigma. Boo hoo, trump!"
1225931402425880578,2020-02-07 23:56:37,971325093224820736,6,20449,,Impeached,@GOP Just a few days out and trump is still impeached.
1225931369953611782,2020-02-07 23:56:29,3805656856,7,97,,Impeached,@HeidiNBC No consequences no one to hold him accountable Barr should be impeached
1225930879605919744,2020-02-07 23:54:33,22804865,7,18868,,Impeached,trump deserves to be impeached AGAIN for witness retaliation.
1225930513879195653,2020-02-07 23:53:05,534186237,18,7773,,Impeached,"Don’t you dare be suprized, libs. What did you expect? Oh I know, you thought Trump would be impeached and your traitor arses would go on like nothing happened. SUPRIZE! Jokes on you! 🤷🏻‍♀️ GET OUT! https://t.co/NhJFFxqlnj"
1225930445721915392,2020-02-07 23:52:49,940634899194707968,23,289,,Impeached,"@Kevinliptakcnn @josh_emerson 2020 Massacre is coming.

Republicans are greedy and short sighted. All Republicans should know that at any moment of any day their head can be chopped off and put on a pike. Should have impeached and removed and backed Romney. @lisamurkowski @marcorubio @ScottforFlorida"
1225930042460516353,2020-02-07 23:51:13,22839624,31,4128,,Impeached,"@realDonaldTrump FOREVER AND EVER IMPEACHED AS A FAILED PREDATORY TRAITOR&lt;&lt;&lt;U R SOOOO FIRED AND WILL SOON BE KICKED TO THE CURB WITH ALL THE GOP SPEW,,,#ONGOING INVESTIGATIONS&lt;&lt;&lt;RESIGN IN SHAME # PRISON VIA SDNY # KARMA #🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊😎"
1225929905688514560,2020-02-07 23:50:40,3861877932,8,2,,Impeached,@askusagainEU @Yaboijuice7 @KenLevy2020 @realDonaldTrump Impeached based on hate.  It was a Polosi and Shifty Schitt show!
1225929836943663104,2020-02-07 23:50:24,706674998539255808,7,88,"Erie, CO",Impeached,@itsJeffTiedrich @realDonaldTrump Impeached by this congress is like being awarded a Purple Heart..... Schiff from his own words for 3 years lied to us about Russian Collusion evidence
1225929806665125888,2020-02-07 23:50:17,2331137299,25,148,,Impeached,@nytimes He needs to be impeached again.
1225929405714829314,2020-02-07 23:48:41,1113259788,211,44891,,Impeached,"@realDonaldTrump You continue to commit impeachable ofenses! 

You abused your power when you fired the Vindman brothers.

 You want revenge. I hope you get impeached again."
1225929243386880008,2020-02-07 23:48:02,1355406758,46,2484,,Impeached,"@kaitlancollins @ttstime After all the firings and rabid-raccoon foaming at the mouth in public, Trump will be left a seething, unsatisfied hollow man. Still impeached, still loathed, still a laughingstock to the world."
1225929112570691585,2020-02-07 23:47:31,844265303773249536,9,334,,Impeached,"@SaysHummingbird LOOK @POTUS* WHAT YOU HAVE DONE!

YOU NEED TO BE #IMPEACHED AGAIN"
1225929067393933312,2020-02-07 23:47:20,1639381261,6,19,,Impeached,@HighlandPeep @FFaxhdr @ananavarro Trump is impeached forever.  This fact is not debatable no matter what YOU think.
1225929029007683584,2020-02-07 23:47:11,2298754183,28,3438,,Impeached,"She didn't announce him correctly. She impeached him. I'm glad he didn't shake hands with her, intentional or not. She behaved so badly Tuesday night, she should NOT be the speaker any longer. https://t.co/uUCeA2A0BE"
1225928988578570240,2020-02-07 23:47:02,471536189,8,108,,Impeached,@joshrogin @MattWolking Agreed. One tried to get a duly elected president impeached. The other one hurt Obama’s feelings. Go figure.
1225928948095356930,2020-02-07 23:46:52,757706299526086656,7,197,,Impeached,"@getjabbb @DanRather It would be easy if it were just 1 person. Trump is proped up by his GOPenablers. Alone he's stupid &amp; only has power because of his key enablers Barr,Pompeo, McConnell, SupCt.Kavanau &amp; others not to mention the Entire Senate. If they weren't crooked 45 would be impeached by now."
